"Breast cancer screening. Female. Average-risk, with less than 15% lifetime risk of breast cancer",,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
FDG-PEM,Usually not appropriate,☢☢☢☢ 10-30 mSv,
"Breast cancer screening. Female. Intermediate-risk, with personal history of breast cancer, lobular neoplasia, atypical ductal hyperplasia, or 15% to 20% lifetime risk of breast cancer.",,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
FDG-PEM,Usually not appropriate,☢☢☢☢ 10-30 mSv,
"Breast cancer screening. Female. High-risk, with a BRCA gene mutation and their untested first-degree relatives, women with a history of chest irradiation between 10 to 30 years of age, women with 20% or greater lifetime risk of breast cancer.",,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
MRI breast without and with IV contrast,Usually appropriate,O 0 mSv,O 0 mSv [ped]
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
FDG-PEM,Usually not appropriate,☢☢☢☢ 10-30 mSv,
Breast cancer screening during lactation. Initial imaging.,,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
Breast cancer screening during pregnancy. Age younger than 30 at high risk. Initial imaging.,,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
Breast cancer screening during pregnancy. Age 30 to 39 years at elevated risk (intermediate or high risk). Initial imaging.,,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
"Breast cancer screening during pregnancy. Age 40 years or older, any risk level. Initial imaging.",,,
Digital breast tomosynthesis screening,Usually appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually appropriate,☢☢ 0.1-1mSv,
US breast,May be appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
Pregnant women with a palpable breast mass. Initial imaging.,,,
US breast,Usually appropriate,O 0 mSv,O 0 mSv [ped]
Digital breast tomosynthesis diagnostic,May be appropriate,☢☢ 0.1-1mSv,
Mammography diagnostic,May be appropriate,☢☢ 0.1-1mSv,
Image-guided core biopsy breast,Usually not appropriate,Varies,
Image-guided fine needle aspiration breast,Usually not appropriate,Varies,
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
Clinically suspicious nipple discharge during pregnancy. Initial imaging.,,,
US breast,Usually appropriate,O 0 mSv,O 0 mSv [ped]
Digital breast tomosynthesis diagnostic,Usually appropriate,☢☢ 0.1-1mSv,
Mammography diagnostic,Usually appropriate,☢☢ 0.1-1mSv,
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
Locoregional staging of newly diagnosed breast cancer during pregnancy. Initial imaging.,,,
US axilla,Usually appropriate,O 0 mSv,O 0 mSv [ped]
Digital breast tomosynthesis diagnostic,Usually appropriate,☢☢ 0.1-1mSv,
Mammography diagnostic,Usually appropriate,☢☢ 0.1-1mSv,
US breast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Sestamibi MBI,Usually not appropriate,☢☢☢ 1-10 mSv,
Evaluation of saline breast implants. Asymptomatic patient. Any age. Initial imaging.,,,
US breast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Digital breast tomosynthesis screening,Usually not appropriate,☢☢ 0.1-1mSv,
Mammography screening,Usually not appropriate,☢☢ 0.1-1mSv,
MRI breast without and with IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
MRI breast without IV contrast,Usually not appropriate,O 0 mSv,O 0 mSv [ped]
Evaluation of saline breast implants. Clinical examination equivocal for implant rupture. Age younger than 30 years. Initial imaging.,,,
US breast,Usually appropriate,O 0 mSv,O 0 mSv [ped]
Digital breast tomosynthesis diagnostic,Usually not appropriate,☢☢ 0.1-1mSv,
